Restaurant_ID,Restaurant_Name,City,Area,Cuisine_Type,Restaurant_Type,Price_Range,Rating,Total_Reviews,Avg_Delivery_Time_Min,Monthly_Orders,Avg_Order_Value_INR,Years_Active,Review_Sentiment_Score,Discount_Offered_Pct,On_Zomato,On_Swiggy,Staff_Count,Success_Score,Status,Monthly_Revenue,Revenue_Band,Dual_Platform,Sentiment_Category,Delivery_Speed,Rating_Band
R0017,Restaurant_17,Hyderabad,Madhapur,South Indian,Fine Dining,Mid-range (₹200-₹500),3.9,375,59,435,609,6.7,0.22,20,Yes,Yes,45,39.7,Closed,264915,Low (<5L),Both Platforms,Neutral,Slow (>45 min),3.5–4.0
R0018,Restaurant_18,Kolkata,Salt Lake,Fast Food,Quick Service,Premium (₹500-₹1000),4.8,644,20,1977,816,10.0,0.99,0,Yes,Yes,11,78.9,Thriving,1613232,High (>15L),Both Platforms,Positive,Fast (<30 min),4.5+
R0019,Restaurant_19,Mumbai,Andheri,Biryani,Cafe,Mid-range (₹200-₹500),3.6,4500,65,1339,806,9.8,0.65,50,Yes,Yes,45,44.6,Struggling,1079234,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),3.5–4.0
R0020,Restaurant_20,Bangalore,Whitefield,South Indian,Dine-in,Mid-range (₹200-₹500),3.2,1775,65,1504,388,7.0,0.74,50,No,Yes,6,28.4,Struggling,583552,Medium (5–15L),Swiggy Only,Positive,Slow (>45 min),3.0–3.5
R0021,Restaurant_21,Chennai,T Nagar,North Indian,Cafe,Mid-range (₹200-₹500),4.1,2195,30,1909,744,7.2,0.21,0,Yes,Yes,37,49.7,Stable,1420296,Medium (5–15L),Both Platforms,Neutral,Fast (<30 min),4.0–4.5
R0022,Restaurant_22,Pune,Baner,Street Food,Delivery Only,Luxury (> ₹1000),2.8,2575,43,263,1100,3.9,0.43,0,Yes,No,42,35.0,Struggling,289300,Low (<5L),Zomato Only,Positive,Normal (30–45 min),<3.0
R0023,Restaurant_23,Hyderabad,Jubilee Hills,Chinese,Quick Service,Budget (< ₹200),2.9,2771,70,1786,1001,6.9,0.52,10,Yes,Yes,47,27.2,Struggling,1787786,High (>15L),Both Platforms,Positive,Slow (>45 min),<3.0
R0024,Restaurant_24,Ahmedabad,Satellite,Italian,Quick Service,Premium (₹500-₹1000),3.3,1914,34,196,855,2.3,-0.21,0,Yes,Yes,44,33.8,Struggling,167580,Low (<5L),Both Platforms,Neutral,Normal (30–45 min),3.0–3.5
R0025,Restaurant_25,Pune,Koregaon Park,South Indian,Cafe,Mid-range (₹200-₹500),4.0,2224,22,544,790,4.6,0.51,20,No,Yes,27,61.8,Stable,429760,Low (<5L),Swiggy Only,Positive,Fast (<30 min),3.5–4.0
R0026,Restaurant_26,Hyderabad,Hitech City,North Indian,Quick Service,Budget (< ₹200),3.8,4460,63,2846,381,4.0,-0.67,20,Yes,Yes,49,64.9,Stable,1084326,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),3.5–4.0
R0027,Restaurant_27,Chennai,Mylapore,Continental,Cafe,Luxury (> ₹1000),4.2,4591,28,885,610,6.8,-0.12,10,Yes,No,38,70.5,Thriving,539850,Medium (5–15L),Zomato Only,Neutral,Fast (<30 min),4.0–4.5
R0028,Restaurant_28,Chennai,Adyar,Italian,Quick Service,Premium (₹500-₹1000),3.7,3672,63,975,703,5.0,0.82,10,Yes,Yes,35,53.5,Stable,685425,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),3.5–4.0
R0029,Restaurant_29,Pune,Koregaon Park,Italian,Cafe,Mid-range (₹200-₹500),4.5,1257,21,289,430,9.8,0.3,0,No,No,43,57.3,Stable,124270,Low (<5L),No Platform,Neutral,Fast (<30 min),4.0–4.5
R0030,Restaurant_30,Kolkata,Ballygunge,Continental,Delivery Only,Mid-range (₹200-₹500),4.1,95,68,536,977,4.5,-0.48,50,No,Yes,38,27.6,Struggling,523672,Medium (5–15L),Swiggy Only,Negative,Slow (>45 min),4.0–4.5
R0031,Restaurant_31,Ahmedabad,Satellite,Mughlai,Fine Dining,Premium (₹500-₹1000),4.9,3675,59,2167,616,8.4,0.19,10,No,No,19,78.1,Thriving,1334872,Medium (5–15L),No Platform,Neutral,Slow (>45 min),4.5+
R0032,Restaurant_32,Chennai,Nungambakkam,Mughlai,Delivery Only,Premium (₹500-₹1000),3.6,2390,35,1212,523,3.5,0.17,10,Yes,Yes,27,50.9,Stable,633876,Medium (5–15L),Both Platforms,Neutral,Normal (30–45 min),3.5–4.0
R0033,Restaurant_33,Hyderabad,Banjara Hills,Continental,Quick Service,Premium (₹500-₹1000),3.9,3456,23,947,1032,4.5,0.83,0,No,No,3,69.4,Stable,977304,Medium (5–15L),No Platform,Positive,Fast (<30 min),3.5–4.0
R0034,Restaurant_34,Chennai,Velachery,Continental,Fine Dining,Mid-range (₹200-₹500),3.7,2285,47,2089,209,4.2,0.4,30,Yes,No,11,61.0,Stable,436601,Low (<5L),Zomato Only,Positive,Slow (>45 min),3.5–4.0
R0035,Restaurant_35,Delhi,Dwarka,Cafe,Fine Dining,Budget (< ₹200),2.7,3561,28,1991,366,1.0,-0.12,10,No,Yes,24,46.4,Stable,728706,Medium (5–15L),Swiggy Only,Neutral,Fast (<30 min),<3.0
R0036,Restaurant_36,Kolkata,New Town,Continental,Cafe,Budget (< ₹200),3.7,4468,23,1533,409,6.7,0.61,0,Yes,Yes,15,70.0,Stable,626997,Medium (5–15L),Both Platforms,Positive,Fast (<30 min),3.5–4.0
R0037,Restaurant_37,Bangalore,Indiranagar,Chinese,Quick Service,Budget (< ₹200),3.9,1835,49,2965,442,7.8,-0.5,0,Yes,Yes,9,53.8,Stable,1310530,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),3.5–4.0
R0038,Restaurant_38,Chennai,Nungambakkam,Continental,Quick Service,Mid-range (₹200-₹500),2.7,2039,26,2955,971,3.4,0.43,0,Yes,Yes,37,41.6,Struggling,2869305,High (>15L),Both Platforms,Positive,Fast (<30 min),<3.0
R0039,Restaurant_39,Pune,Koregaon Park,Street Food,Cafe,Budget (< ₹200),4.6,4065,26,1875,1163,3.9,0.8,40,Yes,No,14,82.7,Thriving,2180625,High (>15L),Zomato Only,Positive,Fast (<30 min),4.5+
R0040,Restaurant_40,Chennai,Nungambakkam,Street Food,Quick Service,Luxury (> ₹1000),3.6,4903,37,1420,1052,2.8,0.88,20,No,Yes,32,62.7,Stable,1493840,Medium (5–15L),Swiggy Only,Positive,Normal (30–45 min),3.5–4.0
R0041,Restaurant_41,Kolkata,New Town,North Indian,Quick Service,Premium (₹500-₹1000),3.0,1787,42,1158,528,3.2,0.27,20,Yes,Yes,8,28.7,Struggling,611424,Medium (5–15L),Both Platforms,Neutral,Normal (30–45 min),<3.0
R0042,Restaurant_42,Hyderabad,Ameerpet,Mughlai,Quick Service,Luxury (> ₹1000),4.5,812,38,1007,594,7.1,-0.25,20,No,Yes,30,61.4,Stable,598158,Medium (5–15L),Swiggy Only,Neutral,Normal (30–45 min),4.0–4.5
R0043,Restaurant_43,Pune,Kothrud,Mughlai,Cafe,Premium (₹500-₹1000),3.1,1038,66,888,503,1.6,0.16,10,Yes,Yes,50,25.5,Struggling,446664,Low (<5L),Both Platforms,Neutral,Slow (>45 min),3.0–3.5
R0044,Restaurant_44,Chennai,T Nagar,Italian,Cafe,Mid-range (₹200-₹500),3.4,2526,20,3000,726,1.7,-0.72,0,Yes,Yes,43,59.3,Stable,2178000,High (>15L),Both Platforms,Negative,Fast (<30 min),3.0–3.5
R0045,Restaurant_45,Ahmedabad,Navrangpura,North Indian,Fine Dining,Premium (₹500-₹1000),3.7,3658,41,855,1168,1.0,0.89,40,Yes,Yes,28,54.2,Stable,998640,Medium (5–15L),Both Platforms,Positive,Normal (30–45 min),3.5–4.0
R0046,Restaurant_46,Delhi,Lajpat Nagar,Chinese,Fine Dining,Premium (₹500-₹1000),2.7,2083,27,2385,962,4.5,0.27,10,No,No,31,35.4,Struggling,2294370,High (>15L),No Platform,Neutral,Fast (<30 min),<3.0
R0047,Restaurant_47,Kolkata,New Town,Cafe,Fine Dining,Budget (< ₹200),4.0,862,68,951,820,2.5,0.39,10,Yes,Yes,38,32.1,Closed,779820,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),3.5–4.0
R0048,Restaurant_48,Ahmedabad,Bodakdev,Cafe,Quick Service,Premium (₹500-₹1000),2.6,2410,65,1258,899,8.7,-0.67,10,Yes,Yes,30,13.5,Closed,1130942,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),<3.0
R0049,Restaurant_49,Hyderabad,Ameerpet,Chinese,Cafe,Mid-range (₹200-₹500),2.7,1409,70,1359,789,7.6,0.22,20,No,Yes,32,26.5,Struggling,1072251,Medium (5–15L),Swiggy Only,Neutral,Slow (>45 min),<3.0
R0050,Restaurant_50,Chennai,Nungambakkam,Street Food,Quick Service,Luxury (> ₹1000),2.7,376,47,1420,798,2.9,-0.64,0,Yes,Yes,14,18.6,Closed,1133160,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),<3.0
R0051,Restaurant_51,Ahmedabad,Prahlad Nagar,Chinese,Fine Dining,Luxury (> ₹1000),4.1,4078,25,2025,536,4.4,-0.22,0,Yes,Yes,29,69.8,Stable,1085400,Medium (5–15L),Both Platforms,Neutral,Fast (<30 min),4.0–4.5
R0052,Restaurant_52,Chennai,Mylapore,Continental,Fine Dining,Budget (< ₹200),3.6,2626,36,1424,298,9.7,-0.07,50,Yes,No,29,38.8,Struggling,424352,Low (<5L),Zomato Only,Neutral,Normal (30–45 min),3.5–4.0
R0053,Restaurant_53,Ahmedabad,Bodakdev,Mughlai,Dine-in,Mid-range (₹200-₹500),3.2,1123,38,1894,1081,7.1,-0.58,10,Yes,Yes,38,24.9,Closed,2047414,High (>15L),Both Platforms,Negative,Normal (30–45 min),3.0–3.5
R0054,Restaurant_54,Kolkata,Park Street,Italian,Dine-in,Luxury (> ₹1000),4.9,1311,51,1295,701,7.2,-0.05,40,No,Yes,32,60.7,Stable,907795,Medium (5–15L),Swiggy Only,Neutral,Slow (>45 min),4.5+
R0055,Restaurant_55,Kolkata,Salt Lake,Cafe,Fine Dining,Mid-range (₹200-₹500),4.7,2313,69,1799,528,9.4,0.11,0,Yes,Yes,40,61.8,Stable,949872,Medium (5–15L),Both Platforms,Neutral,Slow (>45 min),4.5+
R0056,Restaurant_56,Ahmedabad,Satellite,Mughlai,Fine Dining,Luxury (> ₹1000),3.4,4571,68,2325,566,4.8,-0.22,10,Yes,No,17,56.7,Stable,1315950,Medium (5–15L),Zomato Only,Neutral,Slow (>45 min),3.0–3.5
R0057,Restaurant_57,Kolkata,Park Street,Biryani,Quick Service,Luxury (> ₹1000),3.5,1296,51,251,309,5.3,0.26,0,No,Yes,36,41.7,Struggling,77559,Low (<5L),Swiggy Only,Neutral,Slow (>45 min),3.0–3.5
R0058,Restaurant_58,Delhi,Karol Bagh,Chinese,Quick Service,Mid-range (₹200-₹500),2.7,2221,41,2652,889,4.3,-0.66,20,No,Yes,43,38.2,Struggling,2357628,High (>15L),Swiggy Only,Negative,Normal (30–45 min),<3.0
R0059,Restaurant_59,Delhi,Rohini,South Indian,Delivery Only,Premium (₹500-₹1000),5.0,790,47,503,958,6.5,0.77,40,Yes,Yes,4,51.0,Stable,481874,Low (<5L),Both Platforms,Positive,Slow (>45 min),4.5+
R0060,Restaurant_60,Delhi,Saket,Biryani,Cafe,Luxury (> ₹1000),2.9,4401,46,2418,878,8.0,-0.49,0,No,Yes,34,52.7,Stable,2123004,High (>15L),Swiggy Only,Negative,Slow (>45 min),<3.0
R0061,Restaurant_61,Bangalore,Indiranagar,Mughlai,Cafe,Luxury (> ₹1000),3.1,126,71,2005,1102,3.2,0.18,0,No,Yes,40,22.8,Closed,2209510,High (>15L),Swiggy Only,Neutral,Slow (>45 min),3.0–3.5
R0062,Restaurant_62,Kolkata,Tollygunge,Fast Food,Quick Service,Premium (₹500-₹1000),3.0,3201,74,2079,289,2.8,0.23,20,Yes,Yes,45,35.5,Closed,600831,Medium (5–15L),Both Platforms,Neutral,Slow (>45 min),<3.0
R0063,Restaurant_63,Delhi,Rohini,Mughlai,Cafe,Mid-range (₹200-₹500),4.0,2936,34,2707,374,6.4,0.42,10,Yes,Yes,22,70.4,Thriving,1012418,Medium (5–15L),Both Platforms,Positive,Normal (30–45 min),3.5–4.0
R0064,Restaurant_64,Delhi,Rohini,Biryani,Delivery Only,Budget (< ₹200),4.8,2726,67,1801,359,2.4,0.62,20,Yes,Yes,19,74.7,Thriving,646559,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),4.5+
R0065,Restaurant_65,Ahmedabad,Prahlad Nagar,Biryani,Dine-in,Luxury (> ₹1000),4.9,1203,68,1024,1060,6.9,0.41,30,Yes,Yes,28,47.1,Stable,1085440,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),4.5+
R0066,Restaurant_66,Mumbai,Colaba,Biryani,Cafe,Luxury (> ₹1000),4.6,3093,26,2864,419,5.0,0.32,50,Yes,Yes,44,68.0,Stable,1200016,Medium (5–15L),Both Platforms,Positive,Fast (<30 min),4.5+
R0067,Restaurant_67,Ahmedabad,Bodakdev,Fast Food,Quick Service,Budget (< ₹200),2.8,354,39,2117,298,1.4,0.8,10,No,No,26,36.4,Struggling,630866,Medium (5–15L),No Platform,Positive,Normal (30–45 min),<3.0
R0068,Restaurant_68,Kolkata,Bhowanipur,Chinese,Quick Service,Budget (< ₹200),4.6,3393,37,234,886,4.0,-0.0,10,Yes,Yes,46,58.3,Stable,207324,Low (<5L),Both Platforms,Neutral,Normal (30–45 min),4.5+
R0069,Restaurant_69,Pune,Koregaon Park,Continental,Cafe,Mid-range (₹200-₹500),4.9,3775,25,2814,397,6.6,0.27,0,Yes,Yes,18,93.7,Thriving,1117158,Medium (5–15L),Both Platforms,Neutral,Fast (<30 min),4.5+
R0070,Restaurant_70,Hyderabad,Banjara Hills,Street Food,Delivery Only,Mid-range (₹200-₹500),4.5,1958,41,704,987,9.1,-0.79,10,Yes,Yes,14,43.4,Struggling,694848,Medium (5–15L),Both Platforms,Negative,Normal (30–45 min),4.0–4.5
R0071,Restaurant_71,Delhi,Lajpat Nagar,North Indian,Cafe,Mid-range (₹200-₹500),4.0,179,31,1186,233,1.7,-0.04,0,Yes,No,31,49.8,Stable,276338,Low (<5L),Zomato Only,Neutral,Normal (30–45 min),3.5–4.0
R0072,Restaurant_72,Mumbai,Colaba,Street Food,Delivery Only,Budget (< ₹200),4.3,4321,39,1976,838,9.7,-0.69,40,No,No,46,56.9,Stable,1655888,High (>15L),No Platform,Negative,Normal (30–45 min),4.0–4.5
R0073,Restaurant_73,Ahmedabad,Navrangpura,South Indian,Cafe,Mid-range (₹200-₹500),2.7,2302,59,2693,779,5.7,-0.21,50,Yes,No,35,35.1,Closed,2097847,High (>15L),Zomato Only,Neutral,Slow (>45 min),<3.0
R0074,Restaurant_74,Mumbai,Powai,Street Food,Delivery Only,Luxury (> ₹1000),3.6,1921,46,1488,1027,4.8,-0.05,0,Yes,No,23,46.6,Stable,1528176,High (>15L),Zomato Only,Neutral,Slow (>45 min),3.5–4.0
R0075,Restaurant_75,Pune,Viman Nagar,Mughlai,Dine-in,Budget (< ₹200),4.6,813,47,495,942,7.5,0.66,50,Yes,Yes,45,45.7,Stable,466290,Low (<5L),Both Platforms,Positive,Slow (>45 min),4.5+
R0076,Restaurant_76,Pune,Wakad,Continental,Dine-in,Premium (₹500-₹1000),4.0,2930,26,2467,699,2.5,0.38,10,Yes,Yes,38,62.1,Stable,1724433,High (>15L),Both Platforms,Positive,Fast (<30 min),3.5–4.0
R0077,Restaurant_77,Chennai,Nungambakkam,Italian,Quick Service,Budget (< ₹200),4.0,2240,21,838,459,7.2,-0.24,20,Yes,Yes,14,59.1,Stable,384642,Low (<5L),Both Platforms,Neutral,Fast (<30 min),3.5–4.0
R0078,Restaurant_78,Kolkata,Park Street,Chinese,Dine-in,Budget (< ₹200),4.4,1812,44,1819,644,3.7,-0.13,20,Yes,Yes,12,50.4,Stable,1171436,Medium (5–15L),Both Platforms,Neutral,Normal (30–45 min),4.0–4.5
R0079,Restaurant_79,Delhi,Karol Bagh,South Indian,Cafe,Luxury (> ₹1000),4.2,4028,58,1910,604,3.1,0.56,0,Yes,No,10,59.7,Stable,1153640,Medium (5–15L),Zomato Only,Positive,Slow (>45 min),4.0–4.5
R0080,Restaurant_80,Ahmedabad,Vastrapur,Fast Food,Dine-in,Mid-range (₹200-₹500),3.5,4959,23,131,389,3.4,-0.42,10,Yes,Yes,23,42.2,Struggling,50959,Low (<5L),Both Platforms,Negative,Fast (<30 min),3.0–3.5
R0081,Restaurant_81,Ahmedabad,Bodakdev,Continental,Delivery Only,Mid-range (₹200-₹500),3.5,1935,52,2388,1033,6.8,-0.16,30,Yes,No,4,43.7,Struggling,2466804,High (>15L),Zomato Only,Neutral,Slow (>45 min),3.0–3.5
R0082,Restaurant_82,Mumbai,Juhu,Cafe,Quick Service,Luxury (> ₹1000),4.3,3471,38,571,594,0.7,-0.22,40,Yes,Yes,30,63.7,Stable,339174,Low (<5L),Both Platforms,Neutral,Normal (30–45 min),4.0–4.5
R0083,Restaurant_83,Hyderabad,Madhapur,Cafe,Quick Service,Budget (< ₹200),3.5,2591,67,1490,406,3.7,-0.5,50,Yes,Yes,25,34.9,Struggling,604940,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),3.0–3.5
R0084,Restaurant_84,Bangalore,Indiranagar,South Indian,Delivery Only,Premium (₹500-₹1000),3.0,4984,29,2784,257,2.2,0.59,40,No,No,46,67.5,Stable,715488,Medium (5–15L),No Platform,Positive,Fast (<30 min),<3.0
R0085,Restaurant_85,Pune,Wakad,Biryani,Delivery Only,Luxury (> ₹1000),2.7,3672,60,1340,995,3.1,-0.7,50,Yes,Yes,32,28.1,Closed,1333300,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),<3.0
R0086,Restaurant_86,Chennai,T Nagar,South Indian,Fine Dining,Luxury (> ₹1000),3.7,4590,70,268,640,9.1,0.23,10,Yes,No,35,39.1,Closed,171520,Low (<5L),Zomato Only,Neutral,Slow (>45 min),3.5–4.0
R0087,Restaurant_87,Mumbai,Juhu,South Indian,Fine Dining,Mid-range (₹200-₹500),2.6,3636,48,2246,715,6.3,-0.14,20,No,No,24,40.7,Struggling,1605890,High (>15L),No Platform,Neutral,Slow (>45 min),<3.0
R0088,Restaurant_88,Delhi,Karol Bagh,Biryani,Dine-in,Premium (₹500-₹1000),2.7,3216,38,1132,921,8.6,0.94,10,Yes,Yes,40,42.1,Struggling,1042572,Medium (5–15L),Both Platforms,Positive,Normal (30–45 min),<3.0
R0089,Restaurant_89,Pune,Kothrud,Continental,Delivery Only,Budget (< ₹200),3.3,3135,61,1445,1012,1.7,0.47,50,Yes,No,35,40.0,Closed,1462340,Medium (5–15L),Zomato Only,Positive,Slow (>45 min),3.0–3.5
R0090,Restaurant_90,Bangalore,Indiranagar,Biryani,Quick Service,Mid-range (₹200-₹500),3.1,1176,29,416,482,8.5,-0.62,50,Yes,Yes,42,20.1,Closed,200512,Low (<5L),Both Platforms,Negative,Fast (<30 min),3.0–3.5
R0091,Restaurant_91,Kolkata,Salt Lake,Chinese,Delivery Only,Mid-range (₹200-₹500),4.3,407,46,1592,872,7.3,0.95,20,No,Yes,37,48.7,Stable,1388224,Medium (5–15L),Swiggy Only,Positive,Slow (>45 min),4.0–4.5
R0092,Restaurant_92,Ahmedabad,Satellite,Biryani,Fine Dining,Luxury (> ₹1000),3.7,2358,69,1664,694,5.5,0.94,10,Yes,Yes,6,50.7,Stable,1154816,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),3.5–4.0
R0093,Restaurant_93,Pune,Baner,South Indian,Fine Dining,Budget (< ₹200),3.2,1363,37,1940,1107,5.4,0.7,0,Yes,No,25,51.1,Stable,2147580,High (>15L),Zomato Only,Positive,Normal (30–45 min),3.0–3.5
R0094,Restaurant_94,Kolkata,Park Street,Continental,Fine Dining,Premium (₹500-₹1000),3.1,718,43,1019,208,3.5,-0.62,20,Yes,Yes,5,21.6,Closed,211952,Low (<5L),Both Platforms,Negative,Normal (30–45 min),3.0–3.5
R0095,Restaurant_95,Ahmedabad,Bodakdev,Chinese,Quick Service,Luxury (> ₹1000),4.0,699,21,1148,400,8.4,0.19,50,No,Yes,21,44.0,Struggling,459200,Low (<5L),Swiggy Only,Neutral,Fast (<30 min),3.5–4.0
R0096,Restaurant_96,Mumbai,Bandra,Italian,Quick Service,Luxury (> ₹1000),2.7,4144,58,2295,196,6.5,0.24,10,Yes,No,3,43.1,Struggling,449820,Low (<5L),Zomato Only,Neutral,Slow (>45 min),<3.0
R0097,Restaurant_97,Hyderabad,Gachibowli,Continental,Delivery Only,Budget (< ₹200),3.8,3004,24,2254,737,5.3,0.98,50,Yes,No,33,55.1,Stable,1661198,High (>15L),Zomato Only,Positive,Fast (<30 min),3.5–4.0
R0098,Restaurant_98,Kolkata,New Town,Fast Food,Dine-in,Premium (₹500-₹1000),4.5,2874,35,2791,823,1.5,0.25,20,Yes,Yes,25,72.6,Thriving,2296993,High (>15L),Both Platforms,Neutral,Normal (30–45 min),4.0–4.5
R0099,Restaurant_99,Bangalore,MG Road,Mughlai,Quick Service,Mid-range (₹200-₹500),4.5,566,65,1974,217,3.3,-0.72,10,Yes,Yes,22,47.8,Stable,428358,Low (<5L),Both Platforms,Negative,Slow (>45 min),4.0–4.5
R0100,Restaurant_100,Ahmedabad,Prahlad Nagar,North Indian,Delivery Only,Premium (₹500-₹1000),3.4,441,75,2785,519,3.1,0.64,30,No,No,27,35.1,Closed,1445415,Medium (5–15L),No Platform,Positive,Slow (>45 min),3.0–3.5
R0101,Restaurant_101,Ahmedabad,Prahlad Nagar,Street Food,Cafe,Budget (< ₹200),4.3,696,47,2567,1198,8.3,0.18,20,Yes,Yes,23,59.1,Stable,3075266,High (>15L),Both Platforms,Neutral,Slow (>45 min),4.0–4.5
R0102,Restaurant_102,Chennai,Velachery,Cafe,Quick Service,Mid-range (₹200-₹500),4.2,2929,48,273,924,8.8,-0.17,30,Yes,Yes,7,53.3,Stable,252252,Low (<5L),Both Platforms,Neutral,Slow (>45 min),4.0–4.5
R0103,Restaurant_103,Kolkata,New Town,Street Food,Delivery Only,Budget (< ₹200),2.9,3639,22,617,248,2.7,0.36,20,No,Yes,41,34.5,Struggling,153016,Low (<5L),Swiggy Only,Positive,Fast (<30 min),<3.0
R0104,Restaurant_104,Pune,Kothrud,Mughlai,Dine-in,Mid-range (₹200-₹500),3.8,3310,40,2760,465,2.9,-0.6,10,No,No,38,49.2,Stable,1283400,Medium (5–15L),No Platform,Negative,Normal (30–45 min),3.5–4.0
R0105,Restaurant_105,Chennai,Mylapore,Mughlai,Delivery Only,Premium (₹500-₹1000),4.2,4073,32,602,318,8.6,0.01,40,Yes,Yes,45,57.1,Stable,191436,Low (<5L),Both Platforms,Neutral,Normal (30–45 min),4.0–4.5
R0106,Restaurant_106,Mumbai,Dadar,Street Food,Cafe,Premium (₹500-₹1000),4.6,1476,70,1580,700,2.6,0.97,10,Yes,No,4,55.5,Stable,1106000,Medium (5–15L),Zomato Only,Positive,Slow (>45 min),4.5+
